label,question,answer,choose
0,Does the image contain an airplane?,yes,1
0,Is there an airplane in the image?,yes,1
0,Is the object in the image designed for flying in the air?,yes,1
0,Does the object in the image have wings?,yes,1
1,Does the image contain a car,yes,1
1,Is there a car in the image?,yes,1
1,Is the object in the image designed for transportation on roads?,yes,1
1,Does the object in the image typically have wheels?,yes,1
2,Does the image contain a bird?,yes,1
2,Is there a bird in the image?,yes,1
2,Does the object in the image have feathers?,yes,1
2,Does the object in the image have a beak?,yes,1
3,Does the image contain a cat?,yes,1
3,Is there a cat in the image?,yes,1
3,Is the object in the image belong to a type of cat?,yes,1
3,Is the object in the image often kept as a pet?,yes,1
4,Is there a deer in the image?,yes,1
4,Does the image contain a deer?,yes,1
4,Does the animal in the image have antlers?,yes,1
4,Are the animals in the image mainly in forests or wooded areas?,yes,1
5,Does the image contain a dog?,yes,1
5,Is there a dog in the image?,yes,1
5,Can you see a dog in the image?,yes,1
5,Does the animal in the image often make a 'barking' sound?,yes,1
6,Does the image contain a frog?,yes,1
6,Can you see a frog in the image?,yes,1
6,Is there a frog in the image?,yes,1
6,Does the animal in the image grow from a tadpole?,yes,1
7,Does the image contain a horse?,yes,1
7,Is there a horse in the image?,yes,1
7,Can you see a horse in the image?,yes,1
7,Does the animal in the image commonly have hooves and manes?,yes,1
8,Does the image contain a ship?,yes,1
8,Is there a ship in the image?,yes,1
8,Is the object in the image typically used for transportation on water?,yes,1
8,Can the object in the image float on water?,yes,1
9,Does the image contain a truck?,yes,1
9,Is there a truck in the image?,yes,1
9,Can you see a truck in the image?,yes,1
9,Is the object in the image typically used for transport cargo on the road?,yes,1
